index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Henry,Locust Grove,6978,232,1078,253,2,1565,344,1962,891,0,3197,4762,
1,Henry,Westside,6971,147,333,136,1,617,519,1606,948,3,3076,3693,
2,Henry,Lowes,9878,297,1468,362,1,2128,541,2591,1418,3,4553,6681,
3,Henry,South Hampton,5476,227,1305,221,0,1753,252,1201,552,0,2005,3758,
4,Henry,Wesley Lakes,6144,131,603,197,1,932,401,2004,837,3,3245,4177,
5,Henry,Unity Grove,4850,170,779,165,1,1115,71,495,263,0,829,1944,
6,Henry,Oakland,4508,213,949,293,0,1455,214,1034,537,1,1786,3241,
7,Henry,Grove Park,4079,271,1040,176,0,1487,175,669,347,0,1191,2678,
8,Henry,Lake Haven,4260,291,1054,274,0,1619,172,886,377,0,1435,3054,
9,Henry,McDonough Central,4250,96,773,340,0,1209,203,1056,476,0,1735,2944,
