index,County,Precinct,Registered Voters,El-Mahdi Holly (I) (Dem)_Election Day Votes,El-Mahdi Holly (I) (Dem)_Advanced Voting Votes,El-Mahdi Holly (I) (Dem)_Absentee by Mail Votes,El-Mahdi Holly (I) (Dem)_Provisional Votes,El-Mahdi Holly (I) (Dem)_Choice Total,Total,
0,Henry,Tussahaw,3409,67,171,39,0,277,277,
1,Henry,Lowes,9878,698,3237,1553,1,5489,5489,
2,Henry,Mt Carmel,5335,238,1390,558,1,2187,2187,
3,Henry,Wesley Lakes,6144,477,2281,908,2,3668,3668,
4,Henry,McDonough,2838,226,962,452,0,1640,1640,
5,Henry,Hickory Flat,5122,173,857,372,0,1402,1402,
6,Henry,Unity Grove,4850,306,1358,449,0,2113,2113,
7,Henry,Pates Creek,5214,247,1585,867,1,2700,2700,
8,Henry,Oakland,4508,320,1426,648,0,2394,2394,
9,Henry,Flippen,4430,185,1195,599,0,1979,1979,
10,Henry,Dutchtown,2751,192,789,405,0,1386,1386,
11,Henry,Grove Park,4079,325,1182,411,0,1918,1918,
12,Henry,McDonough Central,4250,119,512,213,0,844,844,
