index,County,Precinct,Registered Voters,Dale Rutledge (I) (Rep)_Election Day Votes,Dale Rutledge (I) (Rep)_Advanced Voting Votes,Dale Rutledge (I) (Rep)_Absentee by Mail Votes,Dale Rutledge (I) (Rep)_Provisional Votes,Dale Rutledge (I) (Rep)_Choice Total,Regina Lewis-Ward (Dem)_Election Day Votes,Regina Lewis-Ward (Dem)_Advanced Voting Votes,Regina Lewis-Ward (Dem)_Absentee by Mail Votes,Regina Lewis-Ward (Dem)_Provisional Votes,Regina Lewis-Ward (Dem)_Choice Total,Total,
0,Henry,McMullen,3719,485,1224,241,0,1950,120,527,271,0,918,2868,
1,Henry,East Lake,3389,249,1308,324,0,1881,95,468,245,0,808,2689,
2,Henry,Hickory Flat,5122,96,612,205,0,913,152,819,345,0,1316,2229,
3,Henry,Stockbridge East-West,6541,85,317,168,1,571,286,1865,961,0,3112,3683,
4,Henry,Stagecoach,3546,107,635,167,0,909,205,876,366,0,1447,2356,
5,Henry,Flippen,4430,24,186,86,0,296,50,428,215,0,693,989,
6,Henry,Kelleytown,3452,343,1093,238,0,1674,116,679,288,0,1083,2757,
7,Henry,Mt Bethel,3535,651,1087,172,0,1910,143,382,206,0,731,2641,
8,Henry,Lake Haven,4260,275,1055,276,0,1606,182,893,379,0,1454,3060,
9,Henry,McDonough Central,4250,52,374,161,0,587,112,721,327,0,1160,1747,
10,Henry,Timberridge,2096,248,583,151,2,984,75,400,184,0,659,1643,
