index,County,Precinct,Registered Voters,Clint Crowe (Rep)_Election Day Votes,Clint Crowe (Rep)_Advanced Voting Votes,Clint Crowe (Rep)_Absentee by Mail Votes,Clint Crowe (Rep)_Provisional Votes,Clint Crowe (Rep)_Choice Total,Ebony Carter (Dem)_Election Day Votes,Ebony Carter (Dem)_Advanced Voting Votes,Ebony Carter (Dem)_Absentee by Mail Votes,Ebony Carter (Dem)_Provisional Votes,Ebony Carter (Dem)_Choice Total,Total,
0,Henry,Tussahaw,3409,433,974,196,0,1603,56,156,116,0,328,1931,
1,Henry,Sandy Ridge,4875,627,1786,282,1,2696,130,495,256,2,883,3579,
2,Henry,Westside,6971,124,308,129,0,561,547,1669,966,1,3183,3744,
3,Henry,Shiloh,4077,106,466,125,0,697,314,1060,497,8,1879,2576,
4,Henry,Lake Dow,5049,407,1450,427,1,2285,164,880,455,1,1500,3785,
