index,County,Precinct,Registered Voters,Jack Redlinger (Rep)_Election Day Votes,Jack Redlinger (Rep)_Advanced Voting Votes,Jack Redlinger (Rep)_Absentee by Mail Votes,Jack Redlinger (Rep)_Provisional Votes,Jack Redlinger (Rep)_Choice Total,Reginald Scandrett (Dem)_Election Day Votes,Reginald Scandrett (Dem)_Advanced Voting Votes,Reginald Scandrett (Dem)_Absentee by Mail Votes,Reginald Scandrett (Dem)_Provisional Votes,Reginald Scandrett (Dem)_Choice Total,Total,
0,Henry,Locust Grove,6978,213,1040,241,2,1496,366,2027,901,1,3295,4791,
1,Henry,Tussahaw,3409,540,1275,250,0,2065,77,229,155,0,461,2526,
2,Henry,Sandy Ridge,4875,612,1766,283,2,2663,143,518,256,3,920,3583,
3,Henry,Westside,6971,124,318,136,1,579,545,1652,954,6,3157,3736,
4,Henry,Lowes,9878,275,1409,349,2,2035,564,2676,1447,5,4692,6727,
5,Henry,South Hampton,5476,228,1260,222,0,1710,255,1258,548,2,2063,3773,
6,Henry,North Hampton,7156,222,1325,297,0,1844,349,1802,840,2,2993,4837,
7,Henry,Mt Carmel,5335,104,485,154,0,743,293,2032,880,1,3206,3949,
8,Henry,Red Oak,5610,88,350,155,0,593,341,2202,845,1,3389,3982,
9,Henry,Wesley Lakes,6144,122,577,203,0,902,410,2041,833,5,3289,4191,
10,Henry,McDonough,2838,89,318,104,0,511,180,852,415,6,1453,1964,
11,Henry,McMullen,3719,478,1212,231,0,1921,127,545,276,0,948,2869,
12,Henry,East Lake,3389,240,1307,320,0,1867,99,478,245,0,822,2689,
13,Henry,Hickory Flat,5122,140,823,254,0,1217,303,1600,702,1,2606,3823,
14,Henry,Stockbridge East-West,6541,93,367,177,3,640,389,2171,1094,2,3656,4296,
15,Henry,Stagecoach,3546,102,632,164,1,899,211,870,372,1,1454,2353,
16,Henry,Cotton Indian,4785,179,861,235,1,1276,200,1335,432,3,1970,3246,
17,Henry,Pleasant Grove,4135,196,1131,288,1,1616,122,975,448,5,1550,3166,
18,Henry,Austin Road,3374,75,533,159,0,767,136,1168,413,3,1720,2487,
19,Henry,Swan Lake,3642,188,886,191,0,1265,161,716,348,2,1227,2492,
20,Henry,Shakerag,4047,48,204,69,0,321,241,1658,664,2,2565,2886,
21,Henry,Ellenwood,4275,46,315,115,0,476,182,1725,765,1,2673,3149,
22,Henry,Unity Grove,4850,410,1762,287,1,2460,110,682,358,1,1151,3611,
23,Henry,Shiloh,4077,113,457,126,0,696,306,1070,494,8,1878,2574,
24,Henry,Pates Creek,5214,124,844,409,2,1379,200,1269,707,4,2180,3559,
25,Henry,Oakland,4508,208,935,292,1,1436,224,1069,539,1,1833,3269,
26,Henry,Lake Dow,5049,393,1439,400,1,2233,178,902,486,1,1567,3800,
27,Henry,Flippen,4430,95,566,269,1,931,197,1468,748,0,2413,3344,
28,Henry,Stockbridge Central,4416,75,423,153,0,651,276,1254,511,2,2043,2694,
29,Henry,Kelleytown,3452,346,1107,239,0,1692,119,663,284,0,1066,2758,
30,Henry,Lighthouse,3693,117,576,198,0,891,178,1125,455,0,1758,2649,
31,Henry,Dutchtown,2751,128,601,225,0,954,135,571,328,2,1036,1990,
32,Henry,Mt Bethel,3535,641,1078,166,1,1886,151,392,213,0,756,2642,
33,Henry,Grove Park,4079,262,1037,169,1,1469,189,700,356,1,1246,2715,
34,Henry,Lake Haven,4260,282,1033,279,1,1595,180,922,378,1,1481,3076,
35,Henry,McDonough Central,4250,88,757,317,0,1162,218,1099,511,0,1828,2990,
36,Henry,Timberridge,2096,243,581,149,2,975,83,408,187,0,678,1653,
