index,County,Precinct,Registered Voters,June Barnes Wood (I) (Rep)_Election Day Votes,June Barnes Wood (I) (Rep)_Advanced Voting Votes,June Barnes Wood (I) (Rep)_Absentee by Mail Votes,June Barnes Wood (I) (Rep)_Provisional Votes,June Barnes Wood (I) (Rep)_Choice Total,Carlotta Harrell (Dem)_Election Day Votes,Carlotta Harrell (Dem)_Advanced Voting Votes,Carlotta Harrell (Dem)_Absentee by Mail Votes,Carlotta Harrell (Dem)_Provisional Votes,Carlotta Harrell (Dem)_Choice Total,Total,
0,Henry,Locust Grove,6978,224,1070,255,1,1550,346,1975,873,2,3196,4746,
1,Henry,Tussahaw,3409,539,1288,252,0,2079,69,202,143,0,414,2493,
2,Henry,Sandy Ridge,4875,621,1763,274,1,2659,122,483,252,3,860,3519,
3,Henry,Westside,6971,136,350,151,0,637,537,1617,929,7,3090,3727,
4,Henry,Lowes,9878,294,1452,387,1,2134,544,2609,1392,6,4551,6685,
5,Henry,South Hampton,5476,225,1295,226,1,1747,253,1200,534,1,1988,3735,
6,Henry,North Hampton,7156,236,1348,318,0,1902,336,1765,810,2,2913,4815,
7,Henry,Mt Carmel,5335,111,546,194,0,851,288,1962,829,1,3080,3931,
8,Henry,Red Oak,5610,103,397,180,0,680,326,2152,822,1,3301,3981,
9,Henry,Wesley Lakes,6144,128,603,212,1,944,404,2010,817,4,3235,4179,
10,Henry,McDonough,2838,91,336,108,0,535,172,825,412,5,1414,1949,
11,Henry,McMullen,3719,477,1193,243,0,1913,120,523,261,0,904,2817,
12,Henry,East Lake,3389,242,1305,328,0,1875,92,440,224,0,756,2631,
13,Henry,Hickory Flat,5122,146,835,268,0,1249,292,1575,684,1,2552,3801,
14,Henry,Stockbridge East-West,6541,111,409,210,4,734,367,2114,1055,1,3537,4271,
15,Henry,Stagecoach,3546,105,651,174,1,931,203,847,357,1,1408,2339,
16,Henry,Cotton Indian,4785,185,917,245,1,1348,193,1272,416,3,1884,3232,
17,Henry,Pleasant Grove,4135,196,1121,285,1,1603,116,953,444,5,1518,3121,
18,Henry,Austin Road,3374,79,541,164,0,784,135,1155,408,2,1700,2484,
19,Henry,Swan Lake,3642,194,905,206,0,1305,152,685,334,2,1173,2478,
20,Henry,Shakerag,4047,57,228,78,0,363,233,1628,664,2,2527,2890,
21,Henry,Ellenwood,4275,49,355,128,0,532,176,1684,751,1,2612,3144,
22,Henry,Unity Grove,4850,410,1757,292,1,2460,101,649,345,1,1096,3556,
23,Henry,Shiloh,4077,122,484,136,1,743,299,1034,481,7,1821,2564,
24,Henry,Pates Creek,5214,128,895,438,4,1465,196,1214,675,2,2087,3552,
25,Henry,Oakland,4508,216,967,290,1,1474,211,1025,525,1,1762,3236,
26,Henry,Lake Dow,5049,407,1432,414,1,2254,157,866,458,1,1482,3736,
27,Henry,Flippen,4430,113,628,306,1,1048,181,1407,703,0,2291,3339,
28,Henry,Stockbridge Central,4416,78,459,164,0,701,269,1209,498,2,1978,2679,
29,Henry,Kelleytown,3452,340,1099,241,0,1680,114,648,275,0,1037,2717,
30,Henry,Lighthouse,3693,124,592,202,0,918,175,1105,447,0,1727,2645,
31,Henry,Dutchtown,2751,133,609,226,0,968,129,550,326,2,1007,1975,
32,Henry,Mt Bethel,3535,637,1080,163,1,1881,145,373,204,0,722,2603,
33,Henry,Grove Park,4079,273,1035,176,1,1485,172,684,341,1,1198,2683,
34,Henry,Lake Haven,4260,284,1044,270,1,1599,178,874,371,1,1424,3023,
35,Henry,McDonough Central,4250,93,783,342,0,1218,208,1050,464,0,1722,2940,
36,Henry,Timberridge,2096,240,583,156,2,981,73,383,168,0,624,1605,
