index,County,Precinct,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,
0,Henry,Stockbridge East-West,6541,103,330,139,1,573,573,
1,Henry,Cotton Indian,4785,290,1648,538,0,2476,2476,
2,Henry,Pleasant Grove,4135,190,1390,544,3,2127,2127,
3,Henry,Austin Road,3374,171,1368,472,2,2013,2013,
4,Henry,Swan Lake,3642,89,431,161,0,681,681,
