index,County,Precinct,Registered Voters,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_Choice Total,Total,
0,Henry,Swan Lake,3642,150,632,247,1,1030,1030,
1,Henry,Shakerag,4047,255,1715,699,0,2669,2669,
2,Henry,Ellenwood,4275,197,1828,798,1,2824,2824,
3,Henry,Lighthouse,3693,228,1324,525,0,2077,2077,
