index,County,Precinct,Registered Voters,Darius Pattillo (I) (Dem)_Election Day Votes,Darius Pattillo (I) (Dem)_Advanced Voting Votes,Darius Pattillo (I) (Dem)_Absentee by Mail Votes,Darius Pattillo (I) (Dem)_Provisional Votes,Darius Pattillo (I) (Dem)_Choice Total,Total,
0,Henry,Locust Grove,6978,493,2561,1003,2,4059,4059,
1,Henry,Tussahaw,3409,339,804,258,0,1401,1401,
2,Henry,Sandy Ridge,4875,495,1438,387,4,2324,2324,
3,Henry,Westside,6971,607,1796,997,7,3407,3407,
4,Henry,Lowes,9878,705,3272,1572,7,5556,5556,
5,Henry,South Hampton,5476,396,1885,646,2,2929,2929,
6,Henry,North Hampton,7156,466,2471,948,2,3887,3887,
7,Henry,Mt Carmel,5335,348,2180,953,1,3482,3482,
8,Henry,Red Oak,5610,390,2349,912,1,3652,3652,
9,Henry,Wesley Lakes,6144,482,2290,907,3,3682,3682,
10,Henry,McDonough,2838,224,967,456,5,1652,1652,
11,Henry,McMullen,3719,374,1129,381,0,1884,1884,
12,Henry,East Lake,3389,234,1091,407,0,1732,1732,
13,Henry,Hickory Flat,5122,371,1926,798,1,3096,3096,
14,Henry,Stockbridge East-West,6541,433,2316,1155,4,3908,3908,
15,Henry,Stagecoach,3546,259,1127,435,1,1822,1822,
16,Henry,Cotton Indian,4785,289,1659,531,4,2483,2483,
17,Henry,Pleasant Grove,4135,191,1387,540,5,2123,2123,
18,Henry,Austin Road,3374,172,1366,464,2,2004,2004,
19,Henry,Swan Lake,3642,245,1067,401,1,1714,1714,
20,Henry,Shakerag,4047,259,1727,689,2,2677,2677,
21,Henry,Ellenwood,4275,201,1831,788,1,2821,2821,
22,Henry,Unity Grove,4850,316,1396,457,2,2171,2171,
23,Henry,Shiloh,4077,378,1287,539,6,2210,2210,
24,Henry,Pates Creek,5214,251,1597,869,6,2723,2723,
25,Henry,Oakland,4508,323,1435,654,1,2413,2413,
26,Henry,Lake Dow,5049,365,1621,674,1,2661,2661,
27,Henry,Flippen,4430,245,1680,848,0,2773,2773,
28,Henry,Stockbridge Central,4416,315,1401,572,2,2290,2290,
29,Henry,Kelleytown,3452,314,1239,410,0,1963,1963,
30,Henry,Lighthouse,3693,233,1327,525,0,2085,2085,
31,Henry,Dutchtown,2751,194,794,411,2,1401,1401,
32,Henry,Mt Bethel,3535,495,942,302,1,1740,1740,
33,Henry,Grove Park,4079,329,1197,409,2,1937,1937,
34,Henry,Lake Haven,4260,325,1432,515,0,2272,2272,
35,Henry,McDonough Central,4250,266,1412,623,0,2301,2301,
36,Henry,Timberridge,2096,208,709,246,1,1164,1164,
