index,County,Precinct,Registered Voters,Steve Richardson (Rep)_Election Day Votes,Steve Richardson (Rep)_Advanced Voting Votes,Steve Richardson (Rep)_Absentee by Mail Votes,Steve Richardson (Rep)_Provisional Votes,Steve Richardson (Rep)_Choice Total,Dee Clemmons (I) (Dem)_Election Day Votes,Dee Clemmons (I) (Dem)_Advanced Voting Votes,Dee Clemmons (I) (Dem)_Absentee by Mail Votes,Dee Clemmons (I) (Dem)_Provisional Votes,Dee Clemmons (I) (Dem)_Choice Total,Total,
0,Henry,Lowes,9878,243,1126,294,0,1663,523,2499,1351,1,4374,6037,
1,Henry,South Hampton,5476,222,1307,233,1,1763,258,1209,533,0,2000,3763,
2,Henry,North Hampton,7156,228,1370,312,0,1910,345,1754,812,0,2911,4821,
3,Henry,Mt Carmel,5335,95,535,179,0,809,303,1973,844,1,3121,3930,
4,Henry,Pates Creek,5214,126,857,402,1,1386,145,1017,591,0,1753,3139,
5,Henry,Oakland,4508,214,985,304,0,1503,215,1016,522,0,1753,3256,
6,Henry,Dutchtown,2751,124,622,229,0,975,141,545,323,0,1009,1984,
