index,County,Precinct,Registered Voters,Johnny Wilson (I) (Rep)_Election Day Votes,Johnny Wilson (I) (Rep)_Advanced Voting Votes,Johnny Wilson (I) (Rep)_Absentee by Mail Votes,Johnny Wilson (I) (Rep)_Provisional Votes,Johnny Wilson (I) (Rep)_Choice Total,Total,
0,Henry,Locust Grove,6978,418,2075,618,1,3112,3112,
1,Henry,Tussahaw,3409,582,1412,329,0,2323,2323,
2,Henry,Sandy Ridge,4875,714,2036,395,0,3145,3145,
3,Henry,Westside,6971,257,668,309,1,1235,1235,
4,Henry,Lowes,9878,70,385,102,0,557,557,
5,Henry,Unity Grove,4850,484,2087,435,0,3006,3006,
6,Henry,Shiloh,4077,302,1023,350,0,1675,1675,
7,Henry,Grove Park,4079,359,1418,317,0,2094,2094,
