county,precinct_id,precinct_name,SHAPE_idx,PART_idx,RES_idx
Appling,1c,,520.0,3.0,1451.0
Appling,5b,,518.0,6.0,1458.0
Appling,5a,,513.0,5.0,1457.0
Appling,1b,,516.0,2.0,1450.0
Appling,3a1,,512.0,0.0,1453.0
Appling,4d,,519.0,7.0,1456.0
Appling,2,,514.0,4.0,1452.0
Appling,4b,,515.0,1.0,1455.0
Appling,3c,,517.0,8.0,1454.0
Atkinson,2,Axson,521.0,12.0,2231.0
Atkinson,3,Willacoochee,522.0,14.0,2232.0
Atkinson,99999,Absentee (outside US),,13.0,
Atkinson,4,Pearson City,524.0,11.0,2233.0
Atkinson,1,Pearson County,523.0,9.0,2230.0
Atkinson,88888,Absentee (domestic),,10.0,
Bacon,99999,Absentee (outside US),,15.0,
Bacon,Douglas,Douglas,525.0,16.0,2123.0
Baker,Elmodel,Elmodel,527.0,19.0,1222.0
Baker,A,A,529.0,17.0,1221.0
Baker,HM,Hoggards Mill,530.0,21.0,1223.0
Baker,88888,Absentee (domestic),,18.0,
Baker,Milford,Milford,528.0,20.0,1224.0
Baker,Newton,Newton,526.0,22.0,1225.0
Baldwin,CTY5,Fire Dept,544.0,37.0,951.0
Baldwin,321W,West Hardwick,542.0,24.0,959.0
Baldwin,Meriweather,Meriweather,534.0,30.0,953.0
Baldwin,322,Coopers,535.0,28.0,960.0
Baldwin,319,West Baldwin,533.0,26.0,957.0
Baldwin,318,North Baldwin,536.0,29.0,956.0
Baldwin,88888,Absentee (domestic),,32.0,
Baldwin,321E,East Hardwick,538.0,25.0,958.0
Baldwin,MONT,East Baldwin,531.0,31.0,954.0
Baldwin,CTY1,South Milledgeville,540.0,33.0,947.0
Baldwin,CTY6,North Milledgeville,537.0,23.0,952.0
Baldwin,CTY2,City Hall Annex,539.0,34.0,948.0
Baldwin,CTY3,Boddie,543.0,35.0,949.0
Baldwin,CTY4,Courthouse,541.0,36.0,950.0
Baldwin,1714,Scottsboro,532.0,27.0,955.0
Banks,2,Baldwin,551.0,51.0,2157.0
Banks,13,Wilmonts,548.0,38.0,2168.0
Banks,12,Washington,547.0,40.0,2167.0
Banks,6,Davids,550.0,47.0,2161.0
Banks,11,Poplar Springs,546.0,42.0,2166.0
Banks,1,Anderson,545.0,41.0,2156.0
Banks,88888,Absentee (domestic),,39.0,
Banks,10,Homer,552.0,46.0,2165.0
Banks,4,Bushville,555.0,43.0,2159.0
Banks,5,Columbia,554.0,44.0,2160.0
Banks,7,Golden Hill,556.0,50.0,2162.0
Banks,9,Hollingsworth,553.0,49.0,2164.0
Banks,3,Berlin,549.0,45.0,2158.0
Banks,8,Grove River,557.0,48.0,2163.0
Barrow,3,Hmong  New  Hope  Alliance  Church,570.0,62.0,1136.0
Barrow,4,Covenant  Life  Sanctuary,565.0,59.0,1137.0
Barrow,5,Fire  Station     Statham,564.0,63.0,1138.0
Barrow,132,,,65.0,
Barrow,13,Winder  Community  Center,566.0,67.0,1140.0
Barrow,15,County Line Elementary School,560.0,58.0,
Barrow,14,Cedar Creek Baptist Church,563.0,60.0,
Barrow,16,The  Church  At  Winder,569.0,52.0,1141.0
Barrow,2,Bethlehem Church -,562.0,68.0,1135.0
Barrow,6,Winder Barrow High School,558.0,64.0,
Barrow,99999,Absentee (outside US),,69.0,
Barrow,11,Apalachee High School,568.0,66.0,
Barrow,10,Leisure Services Center,561.0,56.0,
Barrow,88888,Absentee (domestic),,54.0,
Barrow,7,Statham Elementary School,567.0,53.0,
Barrow,9,Lions Club,571.0,70.0,
Barrow,8,First  Baptist  Church  Winder,559.0,55.0,1139.0
Barrow,1,Bethlehem  Community  Center,573.0,57.0,1134.0
Barrow,12,Midway United Methodist Church,572.0,61.0,
Bartow,7,Emerson,576.0,74.0,2112.0
Bartow,4,Cartersville West,575.0,75.0,2109.0
Bartow,6,Center,578.0,85.0,2111.0
Bartow,14,Taylorsville,579.0,88.0,2119.0
Bartow,88888,Absentee (domestic),,83.0,
Bartow,99999,Absentee (outside US),,87.0,
Bartow,11,Mission Road,586.0,79.0,2117.0
Bartow,3,Cartersville East,582.0,86.0,2108.0
Bartow,1,Adairsville,584.0,82.0,2106.0
Bartow,10,Kingston,581.0,77.0,2116.0
Bartow,15,White,574.0,84.0,2120.0
Bartow,9,Folsom,588.0,80.0,2114.0
Bartow,18,Woodland High,585.0,71.0,2122.0
Bartow,8,Euharlee,577.0,81.0,2113.0
Bartow,HC,Hamilton Crossing,,,2115.0
Bartow,16,Zena Drive,583.0,73.0,2121.0
Bartow,2,Allatoona,580.0,76.0,2107.0
Bartow,12,Pine Log,587.0,78.0,2118.0
Bartow,5,Cassville,589.0,72.0,2110.0
Ben Hill,1,,591.0,91.0,1535.0
Ben Hill,88888,Absentee (domestic),,89.0,
Ben Hill,2,,590.0,90.0,1536.0
Berrien,1642,Enigma,592.0,97.0,701.0
Berrien,11062,West Berrien,595.0,95.0,698.0
Berrien,1144,Ray City,596.0,94.0,699.0
Berrien,1157,Nashville,594.0,96.0,700.0
Berrien,88888,Absentee (domestic),,92.0,
Berrien,518,Alapaha,593.0,93.0,702.0
Bibb,WA2,Warrior 2,601.0,113.0,1178.0
Bibb,WA1,Warrior 1,599.0,107.0,1177.0
Bibb,HO7,Howard 7,623.0,123.0,1168.0
Bibb,88888,Absentee (domestic),,98.0,
Bibb,HO6,Howard 6,627.0,121.0,1167.0
Bibb,EM2,East Macon 2,597.0,126.0,1149.0
Bibb,HO4,Howard 4,611.0,119.0,1165.0
Bibb,EM3,East Macon 3,617.0,114.0,1150.0
Bibb,EM4,East Macon 4,605.0,129.0,1151.0
Bibb,EM5,East Macon 5,598.0,109.0,1152.0
Bibb,VV3,Vineville 3,603.0,104.0,1173.0
Bibb,VV4,Vineville 4,613.0,111.0,1174.0
Bibb,VV5,Vineville 5,621.0,128.0,1175.0
Bibb,VV6,Vineville 6,608.0,124.0,1176.0
Bibb,VV2,Vineville 2,626.0,130.0,1172.0
Bibb,GF1,Godfrey 1,614.0,99.0,1153.0
Bibb,GF2,Godfrey 2,625.0,100.0,1154.0
Bibb,GF3,Godfrey 3,610.0,103.0,1155.0
Bibb,99999,Absentee (outside US),,102.0,
Bibb,GF4,Godfrey 4,616.0,105.0,1156.0
Bibb,GF5,Godfrey 5,622.0,106.0,1157.0
Bibb,HA1,Hazzard 1,604.0,108.0,1158.0
Bibb,VV1,Vineville 1,620.0,112.0,1171.0
Bibb,HA3,Hazzard 3,618.0,127.0,1160.0
Bibb,HA4,Hazzard 4,612.0,115.0,1161.0
Bibb,EM1,East Macon 1,607.0,122.0,1148.0
Bibb,HO2,Howard 2,602.0,117.0,1163.0
Bibb,HO3,Howard 3,619.0,118.0,1164.0
Bibb,HO5,Howard 5,624.0,120.0,1166.0
Bibb,HO1,Howard 1,615.0,116.0,1162.0
Bibb,HA2,Hazzard 2,609.0,110.0,1159.0
Bibb,RU2,Rutland 2,600.0,125.0,1170.0
Bibb,RU1,Rutland 1,606.0,101.0,1169.0
Bleckley,1,Fairground,628.0,133.0,1946.0
Bleckley,88888,Absentee (domestic),,132.0,
Bleckley,99999,Absentee (outside US),,131.0,
Brantley,2,Nahunta,629.0,135.0,934.0
Brantley,1,Hoboken,630.0,137.0,933.0
Brantley,88888,Absentee (domestic),,134.0,
Brantley,3,Waynesville,631.0,136.0,935.0
Brooks,1199,Quitman,638.0,138.0,1247.0
Brooks,88888,Absentee (domestic),,144.0,
Brooks,1230,Barwick,636.0,143.0,1248.0
Brooks,3,,,147.0,
Brooks,1650,Briggs,634.0,142.0,1250.0
Brooks,660,Morven,632.0,140.0,1252.0
Brooks,659,Nankin,633.0,139.0,1251.0
Brooks,99999,Absentee (outside US),,146.0,
Brooks,1402,Dixie,635.0,145.0,1249.0
Brooks,Pavo,Pavo,637.0,141.0,1253.0
Bryan,421,,,148.0,
Bryan,FSMR(V,Fort Stewart Military Reserve (no Voters),642.0,,
Bryan,3,Black Creek,647.0,152.0,1500.0
Bryan,9,Public Safety Complex,645.0,157.0,1506.0
Bryan,1,Pembroke,641.0,149.0,1497.0
Bryan,5,Rh Recreation Compx,649.0,150.0,1502.0
Bryan,10,Danielsiding,644.0,155.0,1498.0
Bryan,88888,Absentee (domestic),,151.0,
Bryan,8,Hwy 144 East,640.0,158.0,1505.0
Bryan,6,J.f. Gregory Park,648.0,159.0,1503.0
Bryan,7,Keller,643.0,154.0,1504.0
Bryan,4,Ways Station,646.0,156.0,1501.0
Bryan,2,Ellabell,639.0,153.0,1499.0
Bulloch,6,,654.0,160.0,1757.0
Bulloch,99999,Absentee (outside US),,161.0,
Bulloch,88888,Absentee (domestic),,165.0,
Bulloch,7,Nevils,655.0,170.0,1758.0
Bulloch,13,,656.0,173.0,1749.0
Bulloch,8,Sinkhole,663.0,168.0,1759.0
Bulloch,16,Leefield,664.0,172.0,1752.0
Bulloch,9,Register,659.0,169.0,1760.0
Bulloch,11,Statesboro,650.0,164.0,1747.0
Bulloch,3,Hagin,653.0,177.0,1754.0
