index,County,Precinct,Registered Voters,Freddie Ashmon (Dem)_Election Day Votes,Freddie Ashmon (Dem)_Advanced Voting Votes,Freddie Ashmon (Dem)_Absentee by Mail Votes,Freddie Ashmon (Dem)_Provisional Votes,Freddie Ashmon (Dem)_Choice Total,Total,
0,Macon,Ideal,1399,142,317,80,0,539,539,
1,Macon,Oglethorpe,1294,99,371,105,0,575,575,
2,Macon,Marshallville,1344,252,264,125,0,641,641,
3,Macon,Montezuma #4,1597,145,426,203,0,774,774,
4,Macon,Montezuma #5,1357,164,346,179,0,689,689,
