index,County,Precinct,Registered Voters,Juanita Moore Laidler (I) (Dem)_Election Day Votes,Juanita Moore Laidler (I) (Dem)_Advanced Voting Votes,Juanita Moore Laidler (I) (Dem)_Absentee by Mail Votes,Juanita Moore Laidler (I) (Dem)_Provisional Votes,Juanita Moore Laidler (I) (Dem)_Choice Total,Total,
0,Macon,Ideal,1399,149,379,92,0,620,620,
1,Macon,Oglethorpe,1294,111,456,107,0,674,674,
2,Macon,Marshallville,1344,252,276,134,0,662,662,
3,Macon,Montezuma #4,1597,148,490,213,0,851,851,
4,Macon,Montezuma #5,1357,158,366,183,0,707,707,
