index,County,Precinct,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,
0,Macon,Ideal,1399,134,349,77,0,560,560,
1,Macon,Oglethorpe,1294,104,388,73,0,565,565,
2,Macon,Marshallville,1344,229,255,98,0,582,582,
3,Macon,Montezuma #4,1597,128,420,168,0,716,716,
4,Macon,Montezuma #5,1357,140,299,148,0,587,587,
