index,County,Precinct,Registered Voters,Rhonda S. Respress (I) (Dem)_Election Day Votes,Rhonda S. Respress (I) (Dem)_Advanced Voting Votes,Rhonda S. Respress (I) (Dem)_Absentee by Mail Votes,Rhonda S. Respress (I) (Dem)_Provisional Votes,Rhonda S. Respress (I) (Dem)_Choice Total,Total,
0,Macon,Ideal,1399,153,415,98,0,666,666,
1,Macon,Oglethorpe,1294,116,465,110,0,691,691,
2,Macon,Marshallville,1344,274,298,137,0,709,709,
3,Macon,Montezuma #4,1597,161,510,218,0,889,889,
4,Macon,Montezuma #5,1357,165,390,187,0,742,742,
