index,County,Precinct,Registered Voters,Leonard Johnson (I) (Dem)_Election Day Votes,Leonard Johnson (I) (Dem)_Advanced Voting Votes,Leonard Johnson (I) (Dem)_Absentee by Mail Votes,Leonard Johnson (I) (Dem)_Provisional Votes,Leonard Johnson (I) (Dem)_Choice Total,Total,
0,Macon,Ideal,1399,158,427,98,0,683,683,
1,Macon,Oglethorpe,1294,114,471,110,0,695,695,
2,Macon,Marshallville,1344,262,287,132,0,681,681,
3,Macon,Montezuma #4,1597,156,505,218,0,879,879,
4,Macon,Montezuma #5,1357,165,385,187,0,737,737,
