index,County,Precinct,Registered Voters,Brenda P. Oglesby (I) (Dem)_Election Day Votes,Brenda P. Oglesby (I) (Dem)_Advanced Voting Votes,Brenda P. Oglesby (I) (Dem)_Absentee by Mail Votes,Brenda P. Oglesby (I) (Dem)_Provisional Votes,Brenda P. Oglesby (I) (Dem)_Choice Total,Total,
0,Macon,Ideal,1399,156,438,96,0,690,690,
1,Macon,Oglethorpe,1294,110,486,107,0,703,703,
2,Macon,Marshallville,1344,269,285,133,0,687,687,
3,Macon,Montezuma #4,1597,161,530,210,0,901,901,
4,Macon,Montezuma #5,1357,164,392,183,0,739,739,
