index,County,Precinct,Registered Voters,Jennifer T. Riddle (I) (Rep)_Election Day Votes,Jennifer T. Riddle (I) (Rep)_Advanced Voting Votes,Jennifer T. Riddle (I) (Rep)_Absentee by Mail Votes,Jennifer T. Riddle (I) (Rep)_Provisional Votes,Jennifer T. Riddle (I) (Rep)_Choice Total,Total,
0,Oconee,City Hall,3910,336,1834,542,0,2712,2712,
1,Oconee,Colham Ferry,1847,206,934,257,1,1398,1398,
2,Oconee,Antioch,1397,248,611,195,0,1054,1054,
3,Oconee,Farmington,737,163,283,89,0,535,535,
4,Oconee,Bishop,1938,241,921,238,2,1402,1402,
5,Oconee,High Shoals,1939,237,1016,234,0,1487,1487,
6,Oconee,North Oconee,1244,187,615,169,0,971,971,
7,Oconee,Dark Corner,3541,471,1832,435,1,2739,2739,
8,Oconee,Bogart,2384,357,996,322,0,1675,1675,
9,Oconee,Marswood Hall,4091,321,1882,814,0,3017,3017,
10,Oconee,East Oconee,2647,162,1210,374,0,1746,1746,
11,Oconee,Civic Center,4396,346,2096,730,0,3172,3172,
