index,County,Precinct,Registered Voters,Mark T. Saxon (I) (Rep)_Election Day Votes,Mark T. Saxon (I) (Rep)_Advanced Voting Votes,Mark T. Saxon (I) (Rep)_Absentee by Mail Votes,Mark T. Saxon (I) (Rep)_Provisional Votes,Mark T. Saxon (I) (Rep)_Choice Total,Total,
0,Oconee,City Hall,3910,333,1765,504,0,2602,2602,
1,Oconee,Colham Ferry,1847,207,891,242,1,1341,1341,
2,Oconee,Antioch,1397,246,593,178,0,1017,1017,
3,Oconee,Farmington,737,157,276,79,0,512,512,
4,Oconee,Bishop,1938,237,892,229,2,1360,1360,
5,Oconee,High Shoals,1939,232,990,219,0,1441,1441,
6,Oconee,North Oconee,1244,184,602,165,0,951,951,
7,Oconee,Dark Corner,3541,465,1804,417,1,2687,2687,
8,Oconee,Bogart,2384,353,976,311,0,1640,1640,
9,Oconee,Marswood Hall,4091,314,1838,780,1,2933,2933,
10,Oconee,East Oconee,2647,161,1175,361,0,1697,1697,
11,Oconee,Civic Center,4396,329,2055,692,0,3076,3076,
