index,County,Precinct,Registered Voters,John E. Daniell (I) (Rep)_Election Day Votes,John E. Daniell (I) (Rep)_Advanced Voting Votes,John E. Daniell (I) (Rep)_Absentee by Mail Votes,John E. Daniell (I) (Rep)_Provisional Votes,John E. Daniell (I) (Rep)_Choice Total,Eric Gisler (Dem)_Election Day Votes,Eric Gisler (Dem)_Advanced Voting Votes,Eric Gisler (Dem)_Absentee by Mail Votes,Eric Gisler (Dem)_Provisional Votes,Eric Gisler (Dem)_Choice Total,Total,
0,Oconee,City Hall,3910,265,1415,359,0,2039,95,661,359,0,1115,3154,
1,Oconee,Colham Ferry,1847,191,762,181,0,1134,26,248,152,1,427,1561,
2,Oconee,Antioch,1397,217,531,145,0,893,35,108,91,0,234,1127,
3,Oconee,Farmington,737,144,247,48,0,439,19,71,58,0,148,587,
4,Oconee,Bishop,1938,210,784,166,1,1161,47,230,149,1,427,1588,
5,Oconee,High Shoals,1939,213,861,178,0,1252,33,249,110,0,392,1644,
6,Oconee,North Oconee,1244,170,516,132,0,818,19,136,67,0,222,1040,
7,Oconee,Dark Corner,3541,430,1641,352,1,2424,52,314,175,0,541,2965,
8,Oconee,Bogart,2384,303,836,223,0,1362,71,244,159,0,474,1836,
9,Oconee,Marswood Hall,4091,268,1584,566,0,2418,66,486,434,0,986,3404,
10,Oconee,East Oconee,2647,124,967,252,0,1343,64,372,288,0,724,2067,
11,Oconee,Civic Center,4396,290,1687,468,0,2445,71,619,441,0,1131,3576,
