index,County,Precinct,Registered Voters,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_Choice Total,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_Choice Total",Total,
0,Oconee,Bogart,2384,319,860,242,0,1421,65,238,151,0,454,1875,
1,Oconee,Marswood Hall,4091,289,1630,627,0,2546,57,469,394,0,920,3466,
2,Oconee,East Oconee,2647,133,1002,278,0,1413,59,355,287,0,701,2114,
