index,County,Precinct,Registered Voters,Marcus A. Wiedower (I) (Rep)_Election Day Votes,Marcus A. Wiedower (I) (Rep)_Advanced Voting Votes,Marcus A. Wiedower (I) (Rep)_Absentee by Mail Votes,Marcus A. Wiedower (I) (Rep)_Provisional Votes,Marcus A. Wiedower (I) (Rep)_Choice Total,Jonathan Wallace (Dem)_Election Day Votes,Jonathan Wallace (Dem)_Advanced Voting Votes,Jonathan Wallace (Dem)_Absentee by Mail Votes,Jonathan Wallace (Dem)_Provisional Votes,Jonathan Wallace (Dem)_Choice Total,Total,
0,Oconee,City Hall,3910,261,1385,353,0,1999,97,727,382,0,1206,3205,
1,Oconee,Colham Ferry,1847,188,783,184,1,1156,28,242,164,0,434,1590,
2,Oconee,Antioch,1397,216,531,139,0,886,40,117,100,0,257,1143,
3,Oconee,Farmington,737,143,240,47,0,430,20,76,61,0,157,587,
4,Oconee,Bishop,1938,212,784,162,0,1158,48,237,166,1,452,1610,
5,Oconee,High Shoals,1939,212,865,176,0,1253,36,263,120,0,419,1672,
6,Oconee,North Oconee,1244,171,520,127,0,818,18,141,79,0,238,1056,
7,Oconee,Dark Corner,3541,432,1634,339,0,2405,58,332,198,0,588,2993,
8,Oconee,Civic Center,4396,291,1672,465,0,2428,78,668,464,0,1210,3638,
