index,County,Precinct,Registered Voters,Tim Burgess (I) (Rep)_Election Day Votes,Tim Burgess (I) (Rep)_Advanced Voting Votes,Tim Burgess (I) (Rep)_Absentee by Mail Votes,Tim Burgess (I) (Rep)_Provisional Votes,Tim Burgess (I) (Rep)_Choice Total,Laura Williams Ormes (Dem)_Election Day Votes,Laura Williams Ormes (Dem)_Advanced Voting Votes,Laura Williams Ormes (Dem)_Absentee by Mail Votes,Laura Williams Ormes (Dem)_Provisional Votes,Laura Williams Ormes (Dem)_Choice Total,Total,
0,Oconee,City Hall,3910,262,1384,348,0,1994,95,698,363,0,1156,3150,
1,Oconee,Colham Ferry,1847,188,790,181,0,1159,29,227,152,0,408,1567,
2,Oconee,Antioch,1397,215,525,135,0,875,40,113,100,0,253,1128,
3,Oconee,Farmington,737,147,243,48,0,438,16,75,60,0,151,589,
4,Oconee,Bishop,1938,199,782,166,1,1148,55,228,158,1,442,1590,
5,Oconee,High Shoals,1939,211,851,175,0,1237,36,256,111,0,403,1640,
6,Oconee,North Oconee,1244,165,518,127,0,810,25,135,68,0,228,1038,
7,Oconee,Dark Corner,3541,421,1633,342,1,2397,59,321,188,0,568,2965,
8,Oconee,Bogart,2384,300,835,225,0,1360,77,251,161,0,489,1849,
9,Oconee,Marswood Hall,4091,269,1562,569,1,2401,64,507,430,0,1001,3402,
10,Oconee,East Oconee,2647,119,970,248,0,1337,66,375,301,0,742,2079,
11,Oconee,Civic Center,4396,282,1673,474,0,2429,79,638,437,0,1154,3583,
