index,County,Precinct,Registered Voters,"James A. Hale, Jr. (Rep)_Election Day Votes","James A. Hale, Jr. (Rep)_Advanced Voting Votes","James A. Hale, Jr. (Rep)_Absentee by Mail Votes","James A. Hale, Jr. (Rep)_Provisional Votes","James A. Hale, Jr. (Rep)_Choice Total",Total,
0,Oconee,City Hall,3910,336,1827,533,0,2696,2696,
1,Oconee,Colham Ferry,1847,207,922,257,1,1387,1387,
2,Oconee,Antioch,1397,248,620,199,0,1067,1067,
3,Oconee,Farmington,737,162,283,85,0,530,530,
4,Oconee,Bishop,1938,241,922,238,2,1403,1403,
5,Oconee,High Shoals,1939,233,1013,227,0,1473,1473,
6,Oconee,North Oconee,1244,190,619,168,0,977,977,
7,Oconee,Dark Corner,3541,466,1825,431,1,2723,2723,
8,Oconee,Bogart,2384,362,994,316,0,1672,1672,
9,Oconee,Marswood Hall,4091,322,1866,799,0,2987,2987,
10,Oconee,East Oconee,2647,164,1195,370,0,1729,1729,
11,Oconee,Civic Center,4396,345,2105,726,0,3176,3176,
