index,County,Precinct,Registered Voters,Stan Gunter (Rep)_Election Day Votes,Stan Gunter (Rep)_Advanced Voting Votes,Stan Gunter (Rep)_Absentee by Mail Votes,Stan Gunter (Rep)_Provisional Votes,Stan Gunter (Rep)_Choice Total,Dave Cooper (Dem)_Election Day Votes,Dave Cooper (Dem)_Advanced Voting Votes,Dave Cooper (Dem)_Absentee by Mail Votes,Dave Cooper (Dem)_Provisional Votes,Dave Cooper (Dem)_Choice Total,Total,
0,White,Blue Ridge,929,171,263,116,1,551,17,32,38,0,87,638,
1,White,Helen,609,113,134,50,0,297,21,47,34,0,102,399,
2,White,Robertstown,407,101,101,37,0,239,17,32,18,0,67,306,
3,White,Tesnatee,1231,185,414,148,0,747,28,69,45,0,142,889,
4,White,Town Creek,1593,302,510,142,1,955,29,60,69,0,158,1113,
