index,County,Precinct,Registered Voters,Victor E. Anderson (Rep)_Election Day Votes,Victor E. Anderson (Rep)_Advanced Voting Votes,Victor E. Anderson (Rep)_Absentee by Mail Votes,Victor E. Anderson (Rep)_Provisional Votes,Victor E. Anderson (Rep)_Choice Total,Nick Mitchell (Dem)_Election Day Votes,Nick Mitchell (Dem)_Advanced Voting Votes,Nick Mitchell (Dem)_Absentee by Mail Votes,Nick Mitchell (Dem)_Provisional Votes,Nick Mitchell (Dem)_Choice Total,Total,
0,White,Blue Creek,2352,406,771,234,0,1411,34,146,160,0,340,1751,
1,White,Mossy Creek,3164,619,1058,300,0,1977,43,104,84,0,231,2208,
2,White,Mt Yonah,4468,534,1558,478,2,2572,68,250,179,0,497,3069,
3,White,Nacoochee,1552,207,475,206,1,889,55,132,137,0,324,1213,
4,White,Shoal Creek,2538,160,300,110,0,570,10,17,32,0,59,629,
5,White,White Creek,1779,353,612,188,0,1153,27,37,42,0,106,1259,
