index,County,Precinct,Registered Voters,Rick Kelley (Rep)_Election Day Votes,Rick Kelley (Rep)_Advanced Voting Votes,Rick Kelley (Rep)_Absentee by Mail Votes,Rick Kelley (Rep)_Provisional Votes,Rick Kelley (Rep)_Choice Total,Total,
0,White,Blue Creek,2352,424,853,321,0,1598,1598,
1,White,Blue Ridge,929,178,277,135,1,591,591,
2,White,Helen,609,126,159,66,0,351,351,
3,White,Mossy Creek,3164,639,1109,342,0,2090,2090,
4,White,Mt Yonah,4468,581,1713,559,2,2855,2855,
5,White,Nacoochee,1552,244,551,270,1,1066,1066,
6,White,Robertstown,407,111,119,44,0,274,274,
7,White,Shoal Creek,2538,458,820,263,0,1541,1541,
8,White,Tesnatee,1231,204,462,160,0,826,826,
9,White,Town Creek,1593,315,530,166,2,1013,1013,
10,White,White Creek,1779,358,638,208,0,1204,1204,
