index,County,Precinct,Registered Voters,Roger Metts (I) (Rep)_Election Day Votes,Roger Metts (I) (Rep)_Advanced Voting Votes,Roger Metts (I) (Rep)_Absentee by Mail Votes,Roger Metts (I) (Rep)_Provisional Votes,Roger Metts (I) (Rep)_Choice Total,Total,
0,Clinch,Argyle,367,55,46,10,0,111,111,
1,Clinch,Homerville,3262,43,189,42,0,274,274,
