index,County,Precinct,Registered Voters,Mary Ruth Handley (I) (Rep)_Election Day Votes,Mary Ruth Handley (I) (Rep)_Advanced Voting Votes,Mary Ruth Handley (I) (Rep)_Absentee by Mail Votes,Mary Ruth Handley (I) (Rep)_Provisional Votes,Mary Ruth Handley (I) (Rep)_Choice Total,Total,
0,Clinch,Arabia,108,62,12,4,0,78,78,
1,Clinch,Argyle,367,103,110,18,0,231,231,
2,Clinch,Dupont,338,120,71,17,0,208,208,
3,Clinch,Fargo,270,146,21,10,0,177,177,
4,Clinch,Homerville,3262,300,1211,238,0,1749,1749,
