index,County,Precinct,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,
0,Clinch,Arabia,108,60,12,4,0,76,76,
1,Clinch,Argyle,367,98,109,16,0,223,223,
2,Clinch,Dupont,338,107,71,11,1,190,190,
3,Clinch,Fargo,270,147,20,10,0,177,177,
4,Clinch,Homerville,3262,282,1130,217,0,1629,1629,
