index,County,Precinct,Registered Voters,Stephen Tinsley (Rep)_Election Day Votes,Stephen Tinsley (Rep)_Advanced Voting Votes,Stephen Tinsley (Rep)_Absentee by Mail Votes,Stephen Tinsley (Rep)_Provisional Votes,Stephen Tinsley (Rep)_Choice Total,Total,
0,Clinch,Arabia,108,58,13,4,0,75,75,
1,Clinch,Argyle,367,94,103,18,0,215,215,
2,Clinch,Dupont,338,105,71,14,1,191,191,
3,Clinch,Fargo,270,144,20,10,0,174,174,
4,Clinch,Homerville,3262,274,1148,221,0,1643,1643,
