index,County,Precinct,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,
0,Clinch,Arabia,108,60,12,4,0,76,76,
1,Clinch,Argyle,367,99,109,20,0,228,228,
2,Clinch,Dupont,338,112,73,19,1,205,205,
3,Clinch,Fargo,270,147,20,10,0,177,177,
4,Clinch,Homerville,3262,282,1148,204,0,1634,1634,
