index,County,Precinct,Registered Voters,Kimberly Smith (Rep)_Election Day Votes,Kimberly Smith (Rep)_Advanced Voting Votes,Kimberly Smith (Rep)_Absentee by Mail Votes,Kimberly Smith (Rep)_Provisional Votes,Kimberly Smith (Rep)_Choice Total,Total,
0,Clinch,Arabia,108,60,12,3,0,75,75,
1,Clinch,Argyle,367,105,108,17,0,230,230,
2,Clinch,Dupont,338,117,73,15,1,206,206,
3,Clinch,Fargo,270,147,20,10,0,177,177,
4,Clinch,Homerville,3262,296,1139,219,0,1654,1654,
