index,County,Precinct,Registered Voters,Keith Wood (I) (Rep)_Election Day Votes,Keith Wood (I) (Rep)_Advanced Voting Votes,Keith Wood (I) (Rep)_Absentee by Mail Votes,Keith Wood (I) (Rep)_Provisional Votes,Keith Wood (I) (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,503,912,462,2,1879,1879,
1,Cherokee,Arnold Mill,4884,869,1670,733,0,3272,3272,
2,Cherokee,Avery,3592,490,1522,560,0,2572,2572,
3,Cherokee,Ball Ground,4065,553,1823,385,1,2762,2762,
4,Cherokee,Bascomb,4115,663,1363,517,0,2543,2543,
5,Cherokee,Bells,5906,783,1601,754,1,3139,3139,
6,Cherokee,Booth,3899,466,1446,602,0,2514,2514,
7,Cherokee,Bradshaw,4491,539,1862,714,0,3115,3115,
8,Cherokee,Bridgemill,5113,691,2077,701,0,3469,3469,
9,Cherokee,Canton,8213,759,2547,1340,0,4646,4646,
10,Cherokee,Carmel,4581,662,1106,587,2,2357,2357,
11,Cherokee,Clayton,4906,796,1831,657,1,3285,3285,
12,Cherokee,Conns Creek,895,271,290,72,0,633,633,
13,Cherokee,Deer Run,3035,656,836,396,1,1889,1889,
14,Cherokee,Dixie,5733,709,1652,777,0,3138,3138,
15,Cherokee,Freehome,5790,760,2368,912,0,4040,4040,
16,Cherokee,Hickory Flat,7334,854,2972,1000,1,4827,4827,
17,Cherokee,Hightower,3483,512,1505,459,0,2476,2476,
18,Cherokee,Hillside,3155,412,1227,480,0,2119,2119,
19,Cherokee,Holly Springs,3262,518,1012,349,1,1880,1880,
20,Cherokee,Kellogg,5482,881,1512,628,2,3023,3023,
21,Cherokee,Liberty,8350,933,2898,1044,0,4875,4875,
22,Cherokee,Little River,7480,782,2294,1480,1,4557,4557,
23,Cherokee,Macedonia,4853,704,2061,706,0,3471,3471,
24,Cherokee,Mountain Road,3078,623,1020,415,1,2059,2059,
25,Cherokee,Neese,7642,901,2310,1134,1,4346,4346,
26,Cherokee,Oak Grove,3749,643,1031,489,0,2163,2163,
27,Cherokee,R M Moore,3468,695,1239,419,0,2353,2353,
28,Cherokee,R T Jones,2525,237,799,250,1,1287,1287,
29,Cherokee,Rosecreek,3748,571,1342,503,0,2416,2416,
30,Cherokee,Salacoa,727,275,131,69,0,475,475,
31,Cherokee,Sixes,3101,467,1123,486,0,2076,2076,
32,Cherokee,Sutallee,2540,734,815,284,1,1834,1834,
33,Cherokee,Teasley,7981,1247,2950,959,1,5157,5157,
34,Cherokee,Toonigh,6641,789,2512,876,0,4177,4177,
35,Cherokee,Union Hill,4207,860,1541,605,2,3008,3008,
36,Cherokee,Univeter,5434,625,2210,681,0,3516,3516,
37,Cherokee,Victoria,3132,617,999,352,0,1968,1968,
38,Cherokee,Waleska,2875,595,825,461,0,1881,1881,
39,Cherokee,Wildcat,3215,567,1145,320,0,2032,2032,
40,Cherokee,Woodlands,3456,755,856,485,0,2096,2096,
41,Cherokee,Woodstock,7345,828,2218,935,1,3982,3982,
