index,County,Precinct,Registered Voters,"Ron R. Wikle, Jr. (I) (Rep)_Election Day Votes","Ron R. Wikle, Jr. (I) (Rep)_Advanced Voting Votes","Ron R. Wikle, Jr. (I) (Rep)_Absentee by Mail Votes","Ron R. Wikle, Jr. (I) (Rep)_Provisional Votes","Ron R. Wikle, Jr. (I) (Rep)_Choice Total",Total,
0,Cherokee,Air Acres,3050,504,916,460,2,1882,1882,
1,Cherokee,Arnold Mill,4884,865,1664,728,0,3257,3257,
2,Cherokee,Avery,3592,482,1517,560,0,2559,2559,
3,Cherokee,Ball Ground,4065,547,1807,386,1,2741,2741,
4,Cherokee,Bascomb,4115,658,1362,515,0,2535,2535,
5,Cherokee,Bells,5906,787,1601,761,1,3150,3150,
6,Cherokee,Booth,3899,464,1447,601,0,2512,2512,
7,Cherokee,Bradshaw,4491,537,1864,718,0,3119,3119,
8,Cherokee,Bridgemill,5113,691,2065,699,0,3455,3455,
9,Cherokee,Canton,8213,751,2550,1336,0,4637,4637,
10,Cherokee,Carmel,4581,662,1099,585,3,2349,2349,
11,Cherokee,Clayton,4906,785,1822,652,1,3260,3260,
12,Cherokee,Conns Creek,895,270,288,73,0,631,631,
13,Cherokee,Deer Run,3035,652,834,394,1,1881,1881,
14,Cherokee,Dixie,5733,711,1655,781,0,3147,3147,
15,Cherokee,Freehome,5790,752,2367,905,0,4024,4024,
16,Cherokee,Hickory Flat,7334,853,2977,1012,1,4843,4843,
17,Cherokee,Hightower,3483,512,1493,462,0,2467,2467,
18,Cherokee,Hillside,3155,413,1227,478,0,2118,2118,
19,Cherokee,Holly Springs,3262,510,1004,350,1,1865,1865,
20,Cherokee,Kellogg,5482,884,1509,627,2,3022,3022,
21,Cherokee,Liberty,8350,926,2907,1051,0,4884,4884,
22,Cherokee,Little River,7480,780,2290,1486,1,4557,4557,
23,Cherokee,Macedonia,4853,701,2054,701,0,3456,3456,
24,Cherokee,Mountain Road,3078,614,1022,419,1,2056,2056,
25,Cherokee,Neese,7642,896,2315,1138,1,4350,4350,
26,Cherokee,Oak Grove,3749,641,1022,496,0,2159,2159,
27,Cherokee,R M Moore,3468,683,1238,417,0,2338,2338,
28,Cherokee,R T Jones,2525,240,791,257,1,1289,1289,
29,Cherokee,Rosecreek,3748,571,1344,502,0,2417,2417,
30,Cherokee,Salacoa,727,278,131,69,0,478,478,
31,Cherokee,Sixes,3101,461,1113,489,0,2063,2063,
32,Cherokee,Sutallee,2540,733,807,286,1,1827,1827,
33,Cherokee,Teasley,7981,1243,2952,955,0,5150,5150,
34,Cherokee,Toonigh,6641,788,2506,875,0,4169,4169,
35,Cherokee,Union Hill,4207,855,1541,602,2,3000,3000,
36,Cherokee,Univeter,5434,624,2209,685,0,3518,3518,
37,Cherokee,Victoria,3132,605,1000,358,0,1963,1963,
38,Cherokee,Waleska,2875,596,823,472,0,1891,1891,
39,Cherokee,Wildcat,3215,568,1135,316,0,2019,2019,
40,Cherokee,Woodlands,3456,763,855,480,0,2098,2098,
41,Cherokee,Woodstock,7345,819,2215,949,2,3985,3985,
