index,County,Precinct,Registered Voters,Michael Zenchuk (I)_Election Day Votes,Michael Zenchuk (I)_Advanced Voting Votes,Michael Zenchuk (I)_Absentee by Mail Votes,Michael Zenchuk (I)_Provisional Votes,Michael Zenchuk (I)_Choice Total,Total,
0,Cherokee,Avery,3592,14,26,13,0,53,53,
1,Cherokee,Bradshaw,4491,27,133,58,0,218,218,
2,Cherokee,Hickory Flat,7334,490,1781,597,0,2868,2868,
3,Cherokee,Holly Springs,3262,400,730,252,0,1382,1382,
4,Cherokee,Liberty,8350,186,512,205,0,903,903,
5,Cherokee,Sixes,3101,0,2,0,0,2,2,
6,Cherokee,Toonigh,6641,154,481,185,0,820,820,
7,Cherokee,Univeter,5434,10,68,13,0,91,91,
8,Cherokee,Wildcat,3215,190,317,108,0,615,615,
