index,County,Precinct,Registered Voters,Sonya Little (I) (Rep)_Election Day Votes,Sonya Little (I) (Rep)_Advanced Voting Votes,Sonya Little (I) (Rep)_Absentee by Mail Votes,Sonya Little (I) (Rep)_Provisional Votes,Sonya Little (I) (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,506,939,483,2,1930,1930,
1,Cherokee,Arnold Mill,4884,874,1688,760,0,3322,3322,
2,Cherokee,Avery,3592,484,1534,576,0,2594,2594,
3,Cherokee,Ball Ground,4065,551,1849,403,0,2803,2803,
4,Cherokee,Bascomb,4115,668,1383,534,0,2585,2585,
5,Cherokee,Bells,5906,791,1622,784,1,3198,3198,
6,Cherokee,Booth,3899,471,1464,614,0,2549,2549,
7,Cherokee,Bradshaw,4491,547,1894,748,0,3189,3189,
8,Cherokee,Bridgemill,5113,695,2094,732,0,3521,3521,
9,Cherokee,Canton,8213,772,2589,1371,0,4732,4732,
10,Cherokee,Carmel,4581,675,1123,604,2,2404,2404,
11,Cherokee,Clayton,4906,794,1839,675,1,3309,3309,
12,Cherokee,Conns Creek,895,275,292,74,0,641,641,
13,Cherokee,Deer Run,3035,663,852,402,1,1918,1918,
14,Cherokee,Dixie,5733,716,1677,801,0,3194,3194,
15,Cherokee,Freehome,5790,760,2388,925,0,4073,4073,
16,Cherokee,Hickory Flat,7334,864,3016,1049,2,4931,4931,
17,Cherokee,Hightower,3483,511,1513,470,0,2494,2494,
18,Cherokee,Hillside,3155,421,1244,493,0,2158,2158,
19,Cherokee,Holly Springs,3262,520,1022,364,1,1907,1907,
20,Cherokee,Kellogg,5482,890,1525,655,2,3072,3072,
21,Cherokee,Liberty,8350,941,2956,1081,0,4978,4978,
22,Cherokee,Little River,7480,792,2325,1527,1,4645,4645,
23,Cherokee,Macedonia,4853,710,2076,724,0,3510,3510,
24,Cherokee,Mountain Road,3078,620,1035,437,1,2093,2093,
25,Cherokee,Neese,7642,909,2352,1169,1,4431,4431,
26,Cherokee,Oak Grove,3749,646,1040,508,0,2194,2194,
27,Cherokee,R M Moore,3468,695,1259,431,0,2385,2385,
28,Cherokee,R T Jones,2525,240,806,267,1,1314,1314,
29,Cherokee,Rosecreek,3748,581,1358,526,0,2465,2465,
30,Cherokee,Salacoa,727,280,131,69,0,480,480,
31,Cherokee,Sixes,3101,470,1132,510,0,2112,2112,
32,Cherokee,Sutallee,2540,737,816,293,1,1847,1847,
33,Cherokee,Teasley,7981,1256,3021,992,0,5269,5269,
34,Cherokee,Toonigh,6641,806,2544,898,0,4248,4248,
35,Cherokee,Union Hill,4207,859,1555,617,2,3033,3033,
36,Cherokee,Univeter,5434,634,2235,695,0,3564,3564,
37,Cherokee,Victoria,3132,617,1012,363,0,1992,1992,
38,Cherokee,Waleska,2875,600,837,485,0,1922,1922,
39,Cherokee,Wildcat,3215,572,1155,331,0,2058,2058,
40,Cherokee,Woodlands,3456,771,875,506,0,2152,2152,
41,Cherokee,Woodstock,7345,828,2257,976,2,4063,4063,
