index,County,Precinct,Registered Voters,Sally Ann Sims (Rep)_Election Day Votes,Sally Ann Sims (Rep)_Advanced Voting Votes,Sally Ann Sims (Rep)_Absentee by Mail Votes,Sally Ann Sims (Rep)_Provisional Votes,Sally Ann Sims (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,505,920,469,2,1896,1896,
1,Cherokee,Arnold Mill,4884,865,1672,740,0,3277,3277,
2,Cherokee,Avery,3592,486,1517,564,0,2567,2567,
3,Cherokee,Ball Ground,4065,545,1811,389,1,2746,2746,
4,Cherokee,Bascomb,4115,661,1361,524,0,2546,2546,
5,Cherokee,Bells,5906,782,1615,763,1,3161,3161,
6,Cherokee,Booth,3899,467,1457,608,0,2532,2532,
7,Cherokee,Bradshaw,4491,541,1866,719,0,3126,3126,
8,Cherokee,Bridgemill,5113,692,2076,712,0,3480,3480,
9,Cherokee,Canton,8213,749,2554,1349,0,4652,4652,
10,Cherokee,Carmel,4581,671,1110,595,3,2379,2379,
11,Cherokee,Clayton,4906,786,1816,657,1,3260,3260,
12,Cherokee,Conns Creek,895,269,287,73,0,629,629,
13,Cherokee,Deer Run,3035,648,839,397,1,1885,1885,
14,Cherokee,Dixie,5733,713,1664,788,0,3165,3165,
15,Cherokee,Freehome,5790,754,2370,910,0,4034,4034,
16,Cherokee,Hickory Flat,7334,858,2991,1018,1,4868,4868,
17,Cherokee,Hightower,3483,511,1498,458,0,2467,2467,
18,Cherokee,Hillside,3155,415,1239,491,0,2145,2145,
19,Cherokee,Holly Springs,3262,512,1015,354,1,1882,1882,
20,Cherokee,Kellogg,5482,885,1513,628,2,3028,3028,
21,Cherokee,Liberty,8350,928,2920,1068,0,4916,4916,
22,Cherokee,Little River,7480,780,2299,1510,1,4590,4590,
23,Cherokee,Macedonia,4853,701,2052,707,0,3460,3460,
24,Cherokee,Mountain Road,3078,616,1028,423,1,2068,2068,
25,Cherokee,Neese,7642,906,2325,1146,1,4378,4378,
26,Cherokee,Oak Grove,3749,641,1032,501,0,2174,2174,
27,Cherokee,R M Moore,3468,685,1239,419,0,2343,2343,
28,Cherokee,R T Jones,2525,241,796,263,1,1301,1301,
29,Cherokee,Rosecreek,3748,574,1349,509,0,2432,2432,
30,Cherokee,Salacoa,727,273,131,69,0,473,473,
31,Cherokee,Sixes,3101,465,1118,497,0,2080,2080,
32,Cherokee,Sutallee,2540,733,804,288,1,1826,1826,
33,Cherokee,Teasley,7981,1247,2967,969,0,5183,5183,
34,Cherokee,Toonigh,6641,784,2516,889,0,4189,4189,
35,Cherokee,Union Hill,4207,855,1546,608,2,3011,3011,
36,Cherokee,Univeter,5434,628,2208,695,0,3531,3531,
37,Cherokee,Victoria,3132,610,1001,358,0,1969,1969,
38,Cherokee,Waleska,2875,595,833,478,0,1906,1906,
39,Cherokee,Wildcat,3215,570,1145,323,0,2038,2038,
40,Cherokee,Woodlands,3456,758,859,486,0,2103,2103,
41,Cherokee,Woodstock,7345,825,2229,957,2,4013,4013,
