index,County,Precinct,Registered Voters,Benny Carter (I) (Rep)_Election Day Votes,Benny Carter (I) (Rep)_Advanced Voting Votes,Benny Carter (I) (Rep)_Absentee by Mail Votes,Benny Carter (I) (Rep)_Provisional Votes,Benny Carter (I) (Rep)_Choice Total,Total,
0,Cherokee,Bascomb,4115,656,1358,507,0,2521,2521,
1,Cherokee,Bridgemill,5113,689,2073,704,0,3466,3466,
2,Cherokee,Holly Springs,3262,507,1006,350,0,1863,1863,
3,Cherokee,Liberty,8350,920,2905,1045,0,4870,4870,
4,Cherokee,Sixes,3101,464,1116,497,0,2077,2077,
5,Cherokee,Sutallee,2540,734,811,284,0,1829,1829,
6,Cherokee,Teasley,7981,555,1704,583,0,2842,2842,
7,Cherokee,Toonigh,6641,795,2503,868,0,4166,4166,
8,Cherokee,Victoria,3132,607,997,356,0,1960,1960,
9,Cherokee,Wildcat,3215,565,1140,322,0,2027,2027,
