index,County,Precinct,Registered Voters,Jeffrey B. Wilbur_Election Day Votes,Jeffrey B. Wilbur_Advanced Voting Votes,Jeffrey B. Wilbur_Absentee by Mail Votes,Jeffrey B. Wilbur_Provisional Votes,Jeffrey B. Wilbur_Choice Total,Total,
0,Cherokee,Avery,3592,13,26,13,0,52,52,
1,Cherokee,Bradshaw,4491,28,132,58,0,218,218,
2,Cherokee,Hickory Flat,7334,480,1732,580,0,2792,2792,
3,Cherokee,Holly Springs,3262,391,716,252,0,1359,1359,
4,Cherokee,Liberty,8350,184,505,202,0,891,891,
5,Cherokee,Sixes,3101,0,1,0,0,1,1,
6,Cherokee,Toonigh,6641,152,479,182,0,813,813,
7,Cherokee,Univeter,5434,10,66,13,0,89,89,
8,Cherokee,Wildcat,3215,186,313,108,0,607,607,
