index,County,Precinct,Registered Voters,Patsy Jordan (I) (Rep)_Election Day Votes,Patsy Jordan (I) (Rep)_Advanced Voting Votes,Patsy Jordan (I) (Rep)_Absentee by Mail Votes,Patsy Jordan (I) (Rep)_Provisional Votes,Patsy Jordan (I) (Rep)_Choice Total,Total,
0,Cherokee,Avery,3592,487,1511,555,0,2553,2553,
1,Cherokee,Ball Ground,4065,546,1820,385,0,2751,2751,
2,Cherokee,Clayton,4906,785,1813,651,0,3249,3249,
3,Cherokee,Conns Creek,895,269,290,72,0,631,631,
4,Cherokee,Freehome,5790,752,2370,904,0,4026,4026,
5,Cherokee,Hightower,3483,510,1494,450,0,2454,2454,
6,Cherokee,Macedonia,4853,698,2047,705,0,3450,3450,
7,Cherokee,R T Jones,2525,3,21,2,0,26,26,
8,Cherokee,Union Hill,4207,852,1539,601,2,2994,2994,
9,Cherokee,Univeter,5434,351,1458,413,0,2222,2222,
