index,County,Precinct,Registered Voters,Richard Weatherby (Rep)_Election Day Votes,Richard Weatherby (Rep)_Advanced Voting Votes,Richard Weatherby (Rep)_Absentee by Mail Votes,Richard Weatherby (Rep)_Provisional Votes,Richard Weatherby (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,505,914,455,1,1875,1875,
1,Cherokee,Arnold Mill,4884,863,1664,727,0,3254,3254,
2,Cherokee,Avery,3592,481,1505,567,0,2553,2553,
3,Cherokee,Bradshaw,4491,537,1858,711,0,3106,3106,
4,Cherokee,Hickory Flat,7334,851,2971,1011,0,4833,4833,
5,Cherokee,Little River,7480,775,2286,1468,0,4529,4529,
6,Cherokee,Mountain Road,3078,612,1018,420,0,2050,2050,
7,Cherokee,Neese,7642,904,2315,1128,0,4347,4347,
8,Cherokee,Union Hill,4207,852,1533,599,1,2985,2985,
9,Cherokee,Univeter,5434,153,360,126,0,639,639,
10,Cherokee,Woodlands,3456,760,849,483,0,2092,2092,
