index,County,Precinct,Registered Voters,Kelly Poole (I) (Rep)_Election Day Votes,Kelly Poole (I) (Rep)_Advanced Voting Votes,Kelly Poole (I) (Rep)_Absentee by Mail Votes,Kelly Poole (I) (Rep)_Provisional Votes,Kelly Poole (I) (Rep)_Choice Total,Total,
0,Cherokee,Bridgemill,5113,684,2050,699,0,3433,3433,
1,Cherokee,Holly Springs,3262,510,996,343,0,1849,1849,
2,Cherokee,Liberty,8350,924,2890,1039,0,4853,4853,
3,Cherokee,Sixes,3101,461,1106,481,0,2048,2048,
4,Cherokee,Toonigh,6641,786,2467,854,0,4107,4107,
5,Cherokee,Univeter,5434,115,245,87,0,447,447,
6,Cherokee,Wildcat,3215,561,1126,305,0,1992,1992,
