index,County,Precinct,Registered Voters,Brandon Beach (I) (Rep)_Election Day Votes,Brandon Beach (I) (Rep)_Advanced Voting Votes,Brandon Beach (I) (Rep)_Absentee by Mail Votes,Brandon Beach (I) (Rep)_Provisional Votes,Brandon Beach (I) (Rep)_Choice Total,Total,
0,Cherokee,Air Acres,3050,498,895,452,1,1846,1846,
1,Cherokee,Arnold Mill,4884,848,1653,737,0,3238,3238,
2,Cherokee,Avery,3592,488,1495,556,1,2540,2540,
3,Cherokee,Ball Ground,4065,550,1797,377,1,2725,2725,
4,Cherokee,Bascomb,4115,385,785,318,0,1488,1488,
5,Cherokee,Booth,3899,435,1345,563,0,2343,2343,
6,Cherokee,Bradshaw,4491,532,1847,706,0,3085,3085,
7,Cherokee,Conns Creek,895,265,291,74,0,630,630,
8,Cherokee,Deer Run,3035,642,814,389,1,1846,1846,
9,Cherokee,Freehome,5790,744,2330,925,0,3999,3999,
10,Cherokee,Hickory Flat,7334,842,2924,986,1,4753,4753,
11,Cherokee,Hightower,3483,508,1484,460,0,2452,2452,
12,Cherokee,Hillside,3155,411,1211,477,0,2099,2099,
13,Cherokee,Holly Springs,3262,509,991,348,0,1848,1848,
14,Cherokee,Little River,7480,81,224,117,0,422,422,
15,Cherokee,Macedonia,4853,693,2043,687,0,3423,3423,
16,Cherokee,Mountain Road,3078,609,1008,412,1,2030,2030,
17,Cherokee,Neese,7642,885,2274,1113,0,4272,4272,
18,Cherokee,Rosecreek,3748,571,1312,492,0,2375,2375,
19,Cherokee,Sixes,3101,459,1104,488,0,2051,2051,
20,Cherokee,Toonigh,6641,779,2468,871,0,4118,4118,
21,Cherokee,Union Hill,4207,851,1521,603,2,2977,2977,
22,Cherokee,Univeter,5434,623,2189,661,0,3473,3473,
23,Cherokee,Wildcat,3215,558,1131,319,0,2008,2008,
24,Cherokee,Woodlands,3456,750,844,479,0,2073,2073,
25,Cherokee,Woodstock,7345,808,2162,887,1,3858,3858,
