index,County,Precinct,Registered Voters,Steve Miller (I)_Election Day Votes,Steve Miller (I)_Advanced Voting Votes,Steve Miller (I)_Absentee by Mail Votes,Steve Miller (I)_Provisional Votes,Steve Miller (I)_Choice Total,Total,
0,Cherokee,Avery,3592,13,26,14,0,53,53,
1,Cherokee,Bradshaw,4491,28,134,59,0,221,221,
2,Cherokee,Hickory Flat,7334,496,1821,619,0,2936,2936,
3,Cherokee,Holly Springs,3262,399,749,257,0,1405,1405,
4,Cherokee,Liberty,8350,188,515,207,0,910,910,
5,Cherokee,Sixes,3101,0,1,0,0,1,1,
6,Cherokee,Toonigh,6641,158,485,184,0,827,827,
7,Cherokee,Univeter,5434,10,68,14,0,92,92,
8,Cherokee,Wildcat,3215,192,320,114,0,626,626,
