index,County,Precinct,Registered Voters,Wes Cantrell (I) (Rep)_Election Day Votes,Wes Cantrell (I) (Rep)_Advanced Voting Votes,Wes Cantrell (I) (Rep)_Absentee by Mail Votes,Wes Cantrell (I) (Rep)_Provisional Votes,Wes Cantrell (I) (Rep)_Choice Total,Charles Ravenscraft (Dem)_Election Day Votes,Charles Ravenscraft (Dem)_Advanced Voting Votes,Charles Ravenscraft (Dem)_Absentee by Mail Votes,Charles Ravenscraft (Dem)_Provisional Votes,Charles Ravenscraft (Dem)_Choice Total,Total,
0,Cherokee,Avery,3592,362,1136,405,0,1903,56,178,176,0,410,2313,
1,Cherokee,Ball Ground,4065,508,1720,326,0,2554,66,215,156,0,437,2991,
2,Cherokee,Bradshaw,4491,485,1707,638,0,2830,94,372,337,0,803,3633,
3,Cherokee,Conns Creek,895,262,281,61,0,604,20,19,24,0,63,667,
4,Cherokee,Freehome,5790,713,2202,805,0,3720,88,370,412,0,870,4590,
5,Cherokee,Hickory Flat,7334,109,410,154,0,673,33,159,156,0,348,1021,
6,Cherokee,Hightower,3483,481,1423,432,0,2336,48,178,157,0,383,2719,
7,Cherokee,Macedonia,4853,642,1899,597,0,3138,99,340,323,0,762,3900,
8,Cherokee,Union Hill,4207,818,1442,525,2,2787,91,250,254,0,595,3382,
9,Cherokee,Univeter,5434,251,1047,270,0,1568,33,177,134,0,344,1912,
