index,County,Precinct,Registered Voters,Danny W. Sane (I) (Rep)_Election Day Votes,Danny W. Sane (I) (Rep)_Advanced Voting Votes,Danny W. Sane (I) (Rep)_Absentee by Mail Votes,Danny W. Sane (I) (Rep)_Provisional Votes,Danny W. Sane (I) (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,269,467,246,3,985,985,
1,Whitfield,2A,3090,421,1069,326,5,1821,1821,
2,Whitfield,3A,2221,296,718,289,0,1303,1303,
3,Whitfield,4A,2586,355,904,309,0,1568,1568,
4,Whitfield,5A,2238,269,332,135,3,739,739,
5,Whitfield,6A,1690,206,249,88,1,544,544,
6,Whitfield,AN,2474,337,508,170,5,1020,1020,
7,Whitfield,CA,1953,516,443,134,1,1094,1094,
8,Whitfield,CO,1431,458,340,112,7,917,917,
9,Whitfield,DG,3295,637,945,342,4,1928,1928,
10,Whitfield,ES,1702,300,369,133,0,802,802,
11,Whitfield,FI,2146,447,566,153,2,1168,1168,
12,Whitfield,GL,2510,449,630,206,1,1286,1286,
13,Whitfield,LT,1148,282,427,80,1,790,790,
14,Whitfield,MC,1659,492,501,118,1,1112,1112,
15,Whitfield,NI,2456,649,686,210,1,1546,1546,
16,Whitfield,PG,4721,723,1589,503,6,2821,2821,
17,Whitfield,TH,3836,758,1212,343,2,2315,2315,
18,Whitfield,TI,775,273,139,43,1,456,456,
19,Whitfield,TR,1335,357,457,134,0,948,948,
20,Whitfield,UT,1053,382,259,86,0,727,727,
21,Whitfield,VA,5250,1033,1771,499,1,3304,3304,
22,Whitfield,WS,2647,532,884,293,3,1712,1712,
