index,County,Precinct,Registered Voters,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_Choice Total,Total,
0,Whitfield,2A,3090,49,169,40,0,258,258,
1,Whitfield,CO,1431,462,332,106,6,906,906,
2,Whitfield,ES,1702,293,358,126,0,777,777,
3,Whitfield,GL,2510,444,618,201,0,1263,1263,
4,Whitfield,LT,1148,285,415,78,1,779,779,
5,Whitfield,NI,2456,648,683,203,1,1535,1535,
6,Whitfield,PG,4721,727,1563,471,3,2764,2764,
7,Whitfield,UT,1053,369,254,74,0,697,697,
8,Whitfield,VA,5250,1015,1739,474,1,3229,3229,
