index,County,Precinct,Registered Voters,Greg Jones (I) (Rep)_Election Day Votes,Greg Jones (I) (Rep)_Advanced Voting Votes,Greg Jones (I) (Rep)_Absentee by Mail Votes,Greg Jones (I) (Rep)_Provisional Votes,Greg Jones (I) (Rep)_Choice Total,Total,
0,Whitfield,2A,3090,146,296,110,0,552,552,
1,Whitfield,4A,2586,345,881,287,0,1513,1513,
2,Whitfield,CA,1953,508,434,125,1,1068,1068,
3,Whitfield,DG,3295,347,548,153,1,1049,1049,
4,Whitfield,MC,1659,485,494,108,0,1087,1087,
5,Whitfield,TH,3836,553,845,248,1,1647,1647,
6,Whitfield,TR,1335,345,462,131,0,938,938,
7,Whitfield,WS,2647,529,877,282,2,1690,1690,
