index,County,Precinct,Registered Voters,Robby Staten (Rep)_Election Day Votes,Robby Staten (Rep)_Advanced Voting Votes,Robby Staten (Rep)_Absentee by Mail Votes,Robby Staten (Rep)_Provisional Votes,Robby Staten (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,84,155,65,1,305,305,
1,Whitfield,5A,2238,253,326,119,1,699,699,
2,Whitfield,GL,2510,444,612,199,0,1255,1255,
3,Whitfield,LT,1148,280,414,75,0,769,769,
4,Whitfield,NI,2456,645,667,203,1,1516,1516,
5,Whitfield,PG,4721,327,842,282,1,1452,1452,
6,Whitfield,UT,1053,369,250,74,0,693,693,
