index,County,Precinct,Registered Voters,Greg W. Bates (I) (Rep)_Election Day Votes,Greg W. Bates (I) (Rep)_Advanced Voting Votes,Greg W. Bates (I) (Rep)_Absentee by Mail Votes,Greg W. Bates (I) (Rep)_Provisional Votes,Greg W. Bates (I) (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,275,473,236,3,987,987,
1,Whitfield,2A,3090,414,1047,313,5,1779,1779,
2,Whitfield,3A,2221,293,715,266,0,1274,1274,
3,Whitfield,4A,2586,352,897,302,0,1551,1551,
4,Whitfield,5A,2238,260,339,126,3,728,728,
5,Whitfield,6A,1690,202,252,84,1,539,539,
6,Whitfield,AN,2474,336,508,165,5,1014,1014,
7,Whitfield,CA,1953,515,439,128,1,1083,1083,
8,Whitfield,CO,1431,462,338,108,7,915,915,
9,Whitfield,DG,3295,630,941,325,4,1900,1900,
10,Whitfield,ES,1702,296,365,127,0,788,788,
11,Whitfield,FI,2146,454,558,142,2,1156,1156,
12,Whitfield,GL,2510,442,619,196,1,1258,1258,
13,Whitfield,LT,1148,283,416,77,1,777,777,
14,Whitfield,MC,1659,490,500,111,1,1102,1102,
15,Whitfield,NI,2456,643,676,206,2,1527,1527,
16,Whitfield,PG,4721,725,1569,479,6,2779,2779,
17,Whitfield,TH,3836,739,1211,327,2,2279,2279,
18,Whitfield,TI,775,267,135,42,1,445,445,
19,Whitfield,TR,1335,347,458,131,0,936,936,
20,Whitfield,UT,1053,376,255,77,0,708,708,
21,Whitfield,VA,5250,1022,1754,486,1,3263,3263,
22,Whitfield,WS,2647,526,876,282,2,1686,1686,
