index,County,Precinct,Registered Voters,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,266,456,235,3,960,960,
1,Whitfield,2A,3090,412,1037,315,5,1769,1769,
2,Whitfield,3A,2221,293,714,273,0,1280,1280,
3,Whitfield,4A,2586,347,895,298,0,1540,1540,
4,Whitfield,5A,2238,254,320,127,3,704,704,
5,Whitfield,6A,1690,205,232,81,0,518,518,
6,Whitfield,AN,2474,328,503,163,5,999,999,
7,Whitfield,CA,1953,511,432,130,2,1075,1075,
8,Whitfield,CO,1431,458,332,108,7,905,905,
9,Whitfield,DG,3295,626,932,334,4,1896,1896,
10,Whitfield,ES,1702,290,358,125,0,773,773,
11,Whitfield,FI,2146,443,552,137,2,1134,1134,
12,Whitfield,GL,2510,451,610,200,1,1262,1262,
13,Whitfield,LT,1148,282,416,76,1,775,775,
14,Whitfield,MC,1659,484,499,113,1,1097,1097,
15,Whitfield,NI,2456,638,680,208,2,1528,1528,
16,Whitfield,PG,4721,715,1554,479,4,2752,2752,
17,Whitfield,TH,3836,742,1194,326,2,2264,2264,
18,Whitfield,TI,775,269,135,39,1,444,444,
19,Whitfield,TR,1335,348,449,133,0,930,930,
20,Whitfield,UT,1053,369,252,82,0,703,703,
21,Whitfield,VA,5250,1014,1744,477,2,3237,3237,
22,Whitfield,WS,2647,529,871,282,3,1685,1685,
