index,County,Precinct,Registered Voters,Steve Tarvin (I) (Rep)_Election Day Votes,Steve Tarvin (I) (Rep)_Advanced Voting Votes,Steve Tarvin (I) (Rep)_Absentee by Mail Votes,Steve Tarvin (I) (Rep)_Provisional Votes,Steve Tarvin (I) (Rep)_Choice Total,Total,
0,Whitfield,TH,3836,744,1196,331,0,2271,2271,
1,Whitfield,TR,1335,353,459,132,0,944,944,
2,Whitfield,WS,2647,526,866,274,1,1667,1667,
