index,County,Precinct,Registered Voters,Ron Johnson (I) (Rep)_Election Day Votes,Ron Johnson (I) (Rep)_Advanced Voting Votes,Ron Johnson (I) (Rep)_Absentee by Mail Votes,Ron Johnson (I) (Rep)_Provisional Votes,Ron Johnson (I) (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,8,25,11,0,44,44,
1,Whitfield,2A,3090,53,188,48,0,289,289,
2,Whitfield,4A,2586,13,41,15,0,69,69,
3,Whitfield,5A,2238,6,8,1,0,15,15,
4,Whitfield,6A,1690,14,10,2,0,26,26,
5,Whitfield,AN,2474,287,414,131,4,836,836,
6,Whitfield,CA,1953,507,435,124,1,1067,1067,
7,Whitfield,CO,1431,457,333,103,7,900,900,
8,Whitfield,DG,3295,551,820,288,4,1663,1663,
9,Whitfield,ES,1702,293,357,124,0,774,774,
10,Whitfield,FI,2146,444,553,140,2,1139,1139,
11,Whitfield,GL,2510,376,492,144,1,1013,1013,
12,Whitfield,LT,1148,280,413,75,1,769,769,
13,Whitfield,MC,1659,481,498,108,1,1088,1088,
14,Whitfield,NI,2456,641,667,201,1,1510,1510,
15,Whitfield,PG,4721,606,1196,347,2,2151,2151,
16,Whitfield,TH,3836,729,1182,324,2,2237,2237,
17,Whitfield,TI,775,266,135,41,0,442,442,
18,Whitfield,TR,1335,342,455,129,0,926,926,
19,Whitfield,UT,1053,369,251,74,0,694,694,
20,Whitfield,VA,5250,1012,1729,466,1,3208,3208,
21,Whitfield,WS,2647,524,868,279,3,1674,1674,
