index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Whitfield,1A,2533,180,311,151,3,645,161,320,159,0,640,13,18,11,0,42,1327,
1,Whitfield,2A,3090,319,884,253,5,1461,145,330,167,1,643,15,23,8,0,46,2150,
2,Whitfield,3A,2221,238,575,188,0,1001,97,261,157,0,515,12,12,7,0,31,1547,
3,Whitfield,4A,2586,255,722,208,0,1185,152,330,171,1,654,13,17,10,0,40,1879,
4,Whitfield,5A,2238,133,149,57,2,341,233,360,148,3,744,11,21,7,0,39,1124,
5,Whitfield,6A,1690,95,117,40,0,252,205,246,80,2,533,13,14,6,0,33,818,
6,Whitfield,AN,2474,221,355,86,5,667,163,304,124,1,592,17,12,3,0,32,1291,
7,Whitfield,CA,1953,462,372,96,1,931,88,106,53,2,249,17,15,3,0,35,1215,
8,Whitfield,CO,1431,432,299,81,7,819,56,62,52,0,170,16,5,3,0,24,1013,
9,Whitfield,DG,3295,493,795,242,4,1534,194,284,170,0,648,27,25,20,0,72,2254,
10,Whitfield,ES,1702,232,301,76,0,609,105,138,82,0,325,9,10,7,0,26,960,
11,Whitfield,FI,2146,390,457,95,2,944,109,197,83,0,389,19,18,8,0,45,1378,
12,Whitfield,GL,2510,329,508,146,1,984,194,259,129,1,583,21,22,3,0,46,1613,
13,Whitfield,LT,1148,282,401,72,1,756,19,57,26,1,103,4,6,1,0,11,870,
14,Whitfield,MC,1659,461,473,88,1,1023,45,72,53,0,170,18,11,3,0,32,1225,
15,Whitfield,NI,2456,589,644,159,1,1393,90,100,79,1,270,18,11,10,0,39,1702,
16,Whitfield,PG,4721,583,1364,360,4,2311,225,394,242,3,864,26,46,16,1,89,3264,
17,Whitfield,TH,3836,685,1082,251,2,2020,113,248,166,0,527,31,28,18,0,77,2624,
18,Whitfield,TI,775,258,122,29,0,409,36,26,20,1,83,11,4,3,0,18,510,
19,Whitfield,TR,1335,330,441,105,0,876,38,50,53,0,141,13,7,4,0,24,1041,
20,Whitfield,UT,1053,343,249,67,0,659,47,28,35,0,110,16,2,1,0,19,788,
21,Whitfield,VA,5250,937,1561,374,2,2874,175,411,226,0,812,34,38,13,0,85,3771,
22,Whitfield,WS,2647,466,775,220,3,1464,77,216,118,1,412,24,23,10,0,57,1933,
