index,County,Precinct,Registered Voters,Leolene R. Phinney (I) (Rep)_Election Day Votes,Leolene R. Phinney (I) (Rep)_Advanced Voting Votes,Leolene R. Phinney (I) (Rep)_Absentee by Mail Votes,Leolene R. Phinney (I) (Rep)_Provisional Votes,Leolene R. Phinney (I) (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,177,274,51,0,502,502,
1,Crisp,Coney,859,133,427,106,0,666,666,
2,Crisp,Cordele,8897,569,2490,817,3,3879,3879,
3,Crisp,Jamestown,1196,217,508,155,1,881,881,
4,Crisp,Listonia,817,190,300,77,0,567,567,
