index,County,Precinct,Registered Voters,Deborah Lofton (I) (Rep)_Election Day Votes,Deborah Lofton (I) (Rep)_Advanced Voting Votes,Deborah Lofton (I) (Rep)_Absentee by Mail Votes,Deborah Lofton (I) (Rep)_Provisional Votes,Deborah Lofton (I) (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,186,282,62,0,530,530,
1,Crisp,Coney,859,140,445,112,0,697,697,
2,Crisp,Cordele,8897,697,2897,1015,3,4612,4612,
3,Crisp,Jamestown,1196,219,525,161,1,906,906,
4,Crisp,Listonia,817,193,305,86,0,584,584,
