index,County,Precinct,Registered Voters,"Noel Williams, Jr. (I) (Rep)_Election Day Votes","Noel Williams, Jr. (I) (Rep)_Advanced Voting Votes","Noel Williams, Jr. (I) (Rep)_Absentee by Mail Votes","Noel Williams, Jr. (I) (Rep)_Provisional Votes","Noel Williams, Jr. (I) (Rep)_Choice Total",Regina Awung (Dem)_Election Day Votes,Regina Awung (Dem)_Advanced Voting Votes,Regina Awung (Dem)_Absentee by Mail Votes,Regina Awung (Dem)_Provisional Votes,Regina Awung (Dem)_Choice Total,Total,
0,Crisp,Arabi,785,166,259,45,0,470,28,40,21,0,89,559,
1,Crisp,Coney,859,137,423,97,0,657,4,26,20,0,50,707,
2,Crisp,Cordele,8897,347,1947,542,3,2839,427,1127,647,0,2201,5040,
3,Crisp,Jamestown,1196,210,502,148,0,860,12,38,25,1,76,936,
4,Crisp,Listonia,817,192,303,87,0,582,4,10,6,0,20,602,
