index,County,Precinct,Registered Voters,Benjamin Bruce Drennan (Rep)_Election Day Votes,Benjamin Bruce Drennan (Rep)_Advanced Voting Votes,Benjamin Bruce Drennan (Rep)_Absentee by Mail Votes,Benjamin Bruce Drennan (Rep)_Provisional Votes,Benjamin Bruce Drennan (Rep)_Choice Total,Elizabeth Maddox (I) (Dem)_Election Day Votes,Elizabeth Maddox (I) (Dem)_Advanced Voting Votes,Elizabeth Maddox (I) (Dem)_Absentee by Mail Votes,Elizabeth Maddox (I) (Dem)_Provisional Votes,Elizabeth Maddox (I) (Dem)_Choice Total,Total,
0,Crisp,Arabi,785,153,229,36,0,418,42,68,31,0,141,559,
1,Crisp,Coney,859,117,370,78,0,565,21,81,38,0,140,705,
2,Crisp,Cordele,8897,227,1470,374,3,2074,555,1645,829,0,3029,5103,
3,Crisp,Jamestown,1196,189,434,125,0,748,31,98,47,1,177,925,
4,Crisp,Listonia,817,173,274,71,0,518,23,36,21,0,80,598,
