index,County,Precinct,Registered Voters,Amber Roberts Holloway (I) (Rep)_Election Day Votes,Amber Roberts Holloway (I) (Rep)_Advanced Voting Votes,Amber Roberts Holloway (I) (Rep)_Absentee by Mail Votes,Amber Roberts Holloway (I) (Rep)_Provisional Votes,Amber Roberts Holloway (I) (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,182,277,57,0,516,516,
1,Crisp,Coney,859,135,438,112,0,685,685,
2,Crisp,Cordele,8897,610,2613,897,3,4123,4123,
3,Crisp,Jamestown,1196,222,509,158,1,890,890,
4,Crisp,Listonia,817,190,301,86,0,577,577,
