index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Crisp,Arabi,785,119,177,37,0,333,62,106,21,0,189,522,
1,Crisp,Coney,859,96,293,67,0,456,33,130,46,0,209,665,
2,Crisp,Cordele,8897,548,1986,688,1,3223,184,939,376,2,1501,4724,
3,Crisp,Jamestown,1196,135,322,110,1,568,75,191,55,0,321,889,
4,Crisp,Listonia,817,129,183,58,0,370,57,112,31,0,200,570,
