index,County,Precinct,Registered Voters,Billy Hancock (I) (Rep)_Election Day Votes,Billy Hancock (I) (Rep)_Advanced Voting Votes,Billy Hancock (I) (Rep)_Absentee by Mail Votes,Billy Hancock (I) (Rep)_Provisional Votes,Billy Hancock (I) (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,183,283,59,0,525,525,
1,Crisp,Coney,859,141,446,113,0,700,700,
2,Crisp,Cordele,8897,681,2807,984,3,4475,4475,
3,Crisp,Jamestown,1196,222,529,162,1,914,914,
4,Crisp,Listonia,817,197,306,88,0,591,591,
