index,County,Precinct,Registered Voters,Mark Crenshaw (Rep)_Election Day Votes,Mark Crenshaw (Rep)_Advanced Voting Votes,Mark Crenshaw (Rep)_Absentee by Mail Votes,Mark Crenshaw (Rep)_Provisional Votes,Mark Crenshaw (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,181,279,53,0,513,513,
1,Crisp,Coney,859,140,434,110,0,684,684,
2,Crisp,Cordele,8897,310,1957,564,3,2834,2834,
3,Crisp,Jamestown,1196,219,514,157,1,891,891,
4,Crisp,Listonia,817,195,307,83,0,585,585,
